Name,Price,Description,Keyword
brownverse,598.0,brownverse,short kurti
vahson,649.0,vahson,short kurti
amazon brand  myx,379.0,amazon - myx,short kurti
bharvita,897.0,bharvita,chikankaricotton
preeson,989.0,preeson,chikankaricotton
ratan,844.0,ratan,chikankaricotton
vama,884.0,vama,chikankaricotton
siril,479.0,siril,chikankaricotton
royal export,999.0,royal export,chikankaricotton
fnocks,599.0,fnocks,chikankaricotton
shopping queen,613.0,shopping queen,chikankaricotton
swornof,949.0,swornof,chikankaricotton
ada,998.0,ada,chikankaricotton
haniya,547.0,haniya,chikankaricotton
mastanni,1199.0,mastanni,chikankaricotton
elendra jeans,699.0,elendra jeans,chikankaricotton
kazama,399.0,kazama,chikankaricotton
antoniya,1299.0,antoniya,chikankaricotton
a m chikankari,1523.0,a m chikankari,chikankaricotton
eddika,799.0,eddika,chikankaricotton
seva chikan,1499.0,seva chikan,chikankaricotton
cadbury dairy milk silk chocolate home treats 153 gram,200.0,"cadbury dairy milk silk chocolate home treats, 153 gram",silk
cadbury dairy milk silk chocolate bar 150 g,175.0,"cadbury dairy milk silk chocolate bar, 150 g",silk
cadbury dairy milk silk fruit and nut chocolate bar 137 gram,188.0,"cadbury dairy milk silk fruit and nut chocolate bar, 137 gram",silk
cadbury dairy milk silk roast almonds chocolate bar 143 g pack of 3,538.0,"cadbury dairy milk silk roast almonds chocolate bar, 143 g (pack of 3)",silk
cadbury dairy milk silk oreo chocolate bar 60 gram,79.0,"cadbury dairy milk silk oreo chocolate bar, 60 gram",silk
silk cadbury dairy milk valentines heart blush chocolate bar 150 grams pack of 3,540.0,"silk cadbury dairy milk valentines heart blush chocolate bar, 150 grams (pack of 3)",silk
cadbury dairy milk silk chocolate bar small combo 1 x silk oreo 60 g 1 x silk bubbly 50 g 1 x silk roast almond 58 grams,360.0,"cadbury dairy milk silk chocolate bar small combo (1 x silk oreo 60 g, 1 x silk bubbly 50 g, 1 x silk roast almond 58 grams)",silk
cadbury dairy milk silk bubbly chocolate bar 50 gram,98.0,"cadbury dairy milk silk bubbly chocolate bar, 50 gram",silk
cadbury celebrations special silk chocolates potli gift pack 343 grams,520.0,"cadbury celebrations special silk chocolates potli gift pack, 343 grams",silk
cadbury dairy milk silk mousse chocolate bar 116 gram,179.0,"cadbury dairy milk silk mousse chocolate bar, 116 gram",silk
cadbury dairy milk silk mousse chocolate bar 50 gram,83.0,"cadbury dairy milk silk mousse chocolate bar, 50 gram",silk
cadbury dairy milk silk hazelnut chocolate bar 58 gram,,"cadbury dairy milk silk hazelnut chocolate bar, 58 gram",silk
cadbury dairy milk silk bubbly chocolate bar 120 gram,184.0,"cadbury dairy milk silk bubbly chocolate bar, 120 gram",silk
cadbury dairy milk silk heart shaped valentines chocolate gift box 135 g,450.0,"cadbury dairy milk silk heart shaped valentines chocolate gift box, 135 g",silk
cadbury dairy milk silk ganache chocolate bar 146 gm,175.0,"cadbury dairy milk silk ganache chocolate bar, 146 gm",silk
cadbury celebrations special silk selects gift pack 233 g,334.0,"cadbury celebrations special silk selects gift pack, 233 g,",silk
satin scrunchies for womengirls  same colors as shown in the image  scrunchies for womens hair band  stylish silk satin with strong elastic  pastel colors pack of 8,129.0,satin scrunchies for women/girls | same colors as shown in the image | scrunchies for women's hair band | stylish silk satin with strong elastic & pastel colors (pack of 8),silk
cadbury dairy milk silk mousse chocolate bar 116 g pack of 3,525.0,"cadbury dairy milk silk mousse chocolate bar, 116 g (pack of 3)",silk
boldfit silk eye mask for sleeping with adjustable strap premium silk sleeping mask blind fold for smoothcomfortable sleep travelling sleep mask pad sleeping eye mask blind folds for sleepingblack,149.0,boldfit silk eye mask for sleeping with adjustable strap premium silk sleeping mask blind fold for smooth&comfortable sleep travelling sleep mask pad sleeping eye mask blind folds for sleeping-black,silk
silk original almond beverage 60 calories plant basedvegan milk alternative 946 ml,540.0,silk almond beverage 60 calories (plant based/vegan milk alternative) 946 ml,silk
go well satin silk pillow cover for hair and skin 2 piece with 3 piece satin silk soft scrunchiessilk pillow covers with envelope closure end designsilk pillow casesrose taupe 400 tc,265.0,go well satin silk pillow cover for hair and skin 2 piece with 3 piece satin silk soft scrunchies|silk pillow covers with envelope closure end design|silk pillow cases(rose taupe) 400 tc,silk
silk unsweet almond milk 30 calories for serving 946ml,540.0,silk unsweet almond milk 30 calories for serving 946ml,silk
rage coffee silk blend instant coffee  belgian chocolate silk blend flavoured coffee 60 gms   100 pure instant coffee  premium bold  smooth,199.0,"rage coffee silk blend instant coffee | belgian chocolate silk blend flavoured coffee 60 gms | | 100% pure instant coffee | premium, bold & smooth",silk
cadbury dairy milk chocolate bar family pack 134 g,95.0,"cadbury dairy milk chocolate bar family pack, 134 g",silk
amul almondo chocolate 200gm,200.0,amul almondo chocolate 200gm,silk
rage coffee silk blend classic sachets  pack of 30  rich  bold instant coffee flavour  espresso cappuccino latte  premium bold  smooth 10 sachets each flavour silk blend classic,141.0,"rage coffee silk blend classic sachets | pack of 30 | rich & bold instant coffee flavour | espresso, cappuccino, latte | premium bold & smooth (10 sachets each flavour) (silk blend classic)",silk
cadbury nutties chocolate pack 30 g,41.0,"cadbury nutties chocolate pack, 30 g",silk
tresemme smooth  shine fresh conditioner 335 millilitre for silky smooth hair with biotin  silk protein deeply moisturizes dry  frizzy hair for men  women,309.0,"tresemme smooth & shine, fresh conditioner, 335 millilitre, for silky smooth hair, with biotin & silk protein, deeply moisturizes dry & frizzy hair, for &",silk
ferrero rocher exquisite hazelnut and milk chocolate premium gift box 16 pieces 200 g,484.0,"ferrero rocher, exquisite hazelnut and milk chocolate premium gift box, 16 pieces (200 g)",silk
avantika fashion womens kanjivaram soft pure silk banarasi sarees with blouse piece,499.0,avantika women's kanjivaram soft pure silk banarasi sarees with blouse piece,silk
coolbeds satin silk pillow cover for hair and skinwith satin scrunchies for women stylishsatin pillow covers for hair and skin 2packsilk scrunchies for women 3packsilk pillow case rose taupe,497.0,coolbeds satin silk pillow cover for hair and skin-with satin scrunchies for stylish|satin pillow covers for hair and skin 2pack|silk scrunchies for 3pack|silk pillow case (rose taupe),silk
vj fashion women woven soft silk saree with blouse piece_freesize,499.0,vj woven soft silk saree with blouse piece_freesize,silk
ross 100 mulberry silk sleep mask eye mask super smooth for blind fold blue,169.0,"ross 100% mulberry silk sleep mask eye mask, super smooth for blind fold (blue)",silk
amazon brand  solimo satin silk solid pillow cover light rose taupe,219.0,amazon - solimo satin silk solid pillow cover (light rose taupe),silk
mroobest hair  care silkn shine serum with fruit vitamins 100 ml pack of 1,232.0,"mroobest hair & care silk-n shine serum with fruit vitamins, 100 ml, pack of 1",silk
c j enterprise womens pure banarasi silk saree kanjivaram style saree with blouse piece for wedding vruksh,499.0,c j enterprise women's pure banarasi silk saree kanjivaram saree with blouse piece for wedding (vruksh),silk
candibellas satin silk pillow covers for hair and skin pack of 2 satin pillow cover with 3 satin scrunchies for women luxurious silk pillow covers with envelope closure 400 tc rose taupe,299.0,"candibella’s satin silk pillow covers for hair and skin, pack of 2 satin pillow cover with 3 satin scrunchies for women, luxurious silk pillow covers with envelope closure, 400 tc (rose taupe)",silk
candibella womens satin silk bonnet for hair with 3 premium scrunchies adjustable silk hair cap for sleeping satin bonnet for curly hair with ribbon tie band satin hair wrap rose taupe,259.0,"candibella women's satin silk bonnet for hair with 3 premium scrunchies, adjustable silk hair cap for sleeping, satin bonnet for curly hair with ribbon tie band, satin hair wrap (rose taupe)",silk
rage coffee  silk blend assorted sachets pack of 15 3 classic 4 creamy hazelnut 4 vanilla velvet  4 belgian chocolate  free multipurpose shaker  perfect for gym protein shakes  coffee,249.0,"rage coffee - silk blend assorted sachets, pack of 15 (3 classic, 4 creamy hazelnut, 4 vanilla velvet & 4 belgian chocolate) |+ free multi-purpose shaker | perfect for gym, protein shakes & coffee",silk
rani saahiba womens printed art tussar silk zari border saree with blouse piece,1279.0,rani saahiba women's printed art tussar silk zari border saree with blouse piece,silk
bhumlo satin silk pillow covers for hair  satin pillow covers for hair and skin 2pack  silk pillow case teal,269.0,bhumlo satin silk pillow covers for hair | satin pillow covers for hair and skin 2pack | silk pillow case (teal),silk
kbr womens soft lichi silk saree beautiful rich pallu design  jacquard work zari woven kanjivaram silk style saree with attached jacquard border regular fit blouse piecemulti,949.0,"kbr women's soft lichi silk saree beautiful rich pallu & jacquard work zari woven kanjivaram silk saree with attached jacquard border regular fit blouse piece,multi",silk
amirat womens banarasi silk with woven floral zari design saree with blouse piece gulabo 2,549.0,amirat women's banarasi silk with woven floral zari saree with blouse piece (gulabo -2),silk
sgf11 womens kanjivaram woven soft silk saree with blouse piece,1599.0,sgf11- women's kanjivaram woven soft silk saree with blouse piece,silk
avantika fashion womens kanjivaram soft semi silk banarasi sarees with blouse piece,399.0,avantika women's kanjivaram soft semi silk banarasi sarees with blouse piece.,silk
sgf11 womens kanjivaram soft lichi silk saree with blouse piece,949.0,sgf11- women's kanjivaram soft lichi silk saree with blouse piece,silk
miraan,549.0,miraan,linen
aatman,599.0,aatman,linen
jhabaks,799.0,jhabak's,linen
murti creation,999.0,murti creation,linen
haider ali and sons,799.0,haider ali and sons,linen
linen club,2699.0,linen club,linen
siyarams,689.0,siyaram's,linen
be active,606.0,be active,linen
rodzen,449.0,rodzen,linen
symbol premium,2399.0,symbol premium,linen
ghpc,679.0,ghpc,linen
femezone fashion with tradition,999.0,femezone with tradition,linen
bhadani,499.0,bhadani,linen
yashika,389.0,yashika,linen
planborn,799.0,planborn,linen
stbsilk textiles bhagalpur,769.0,stb-silk textiles bhagalpur,linen
go colors,999.0,go colors,linen
saadaa,799.0,saadaa,linen
black orange,1599.0,black orange,linen
accox,499.0,accox,linen
cavallo by linen club,1349.0,cavallo by linen club,linen
silk zone,899.0,silk zone,linen
ramraj cotton,2995.0,ramraj cotton,linen
uppline,299.0,uppline,linen
styli,854.0,styli,linen
kashian,549.0,kashian,denim
voxati,988.0,voxati,denim
nifty,449.0,nifty,denim
buynewtrend,449.0,buynewtrend,denim
denimlook,649.0,denimlook,denim
urbano fashion,599.0,urbano,denim
high star clothing,759.0,high star clothing,denim
keshav srushti,699.0,keshav srushti,denim
kotty,750.0,kotty,denim
